firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Jessica,Owen,Jessica Owen,0.0,0.0,-1.0,0,84424,U2Nob29sLTQ4MQ==,Kennesaw State University
Oral,Moses,Oral Moses,3.7,2.5,100.0,22,84425,U2Nob29sLTQ4MQ==,Kennesaw State University
Linda,Stewart,Linda Stewart,4.0,2.5,100.0,51,103228,U2Nob29sLTQ4MQ==,Kennesaw State University
Fred,Hartfield,Fred Hartfield,3.5,1.8,-1.0,20,104203,U2Nob29sLTQ4MQ==,Kennesaw State University
Abdul,Faruque,Abdul Faruque,2.6,2.9,50.0,19,104205,U2Nob29sLTQ4MQ==,Kennesaw State University
Chien-Pin,Li,Chien-Pin Li,4.1,2.6,-1.0,16,106390,U2Nob29sLTQ4MQ==,Kennesaw State University
Tom,Womack,Tom Womack,4.2,2.0,-1.0,59,107707,U2Nob29sLTQ4MQ==,Kennesaw State University
Tom,Pynn,Tom Pynn,3.0,3.8,24.2424,112,108600,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Herbert,James Herbert,2.9,3.4,57.8947,46,125689,U2Nob29sLTQ4MQ==,Kennesaw State University
Harry,Lasher,Harry Lasher,3.0,3.6,-1.0,16,125697,U2Nob29sLTQ4MQ==,Kennesaw State University
Douglas,Clouatre,Douglas Clouatre,4.8,3.0,-1.0,3,125759,U2Nob29sLTQ4MQ==,Kennesaw State University
Dr.,Pearcey,Dr. Pearcey,4.6,3.3,100.0,22,126408,U2Nob29sLTQ4MQ==,Kennesaw State University
L,Tucker,L Tucker,4.2,3.2,-1.0,20,129814,U2Nob29sLTQ4MQ==,Kennesaw State University
Carol,Barnum,Carol Barnum,1.6,3.9,-1.0,11,134245,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Whitenton,James Whitenton,3.2,3.1,-1.0,36,136208,U2Nob29sLTQ4MQ==,Kennesaw State University
Ann,Parker,Ann Parker,4.7,2.1,-1.0,23,136215,U2Nob29sLTQ4MQ==,Kennesaw State University
Phil,Patterson,Phil Patterson,3.6,3.5,100.0,26,136259,U2Nob29sLTQ4MQ==,Kennesaw State University
Nancy,Reichert,Nancy Reichert,4.6,2.2,100.0,35,136294,U2Nob29sLTQ4MQ==,Kennesaw State University
Joanne,Brock,Joanne Brock,2.1,3.5,-1.0,131,136646,U2Nob29sLTQ4MQ==,Kennesaw State University
Anne,Hicks-Coolick,Anne Hicks-Coolick,3.6,1.8,25.0,22,138549,U2Nob29sLTQ4MQ==,Kennesaw State University
